User ID,Order ID,Order Status,Merchant,subtotal,tax,fees,promotion,order datetime,delivery datetime,Cancellation reason,NPS,Commission Rate,Is Split Order,Is Manual Reload,Delivery Attempts,Num Items
V5SN9,E7T0TSZD,Successful,Zest,8.72,0.5,6.3,5.0,2023-01-01 08:00:00,2023-01-01 08:07:22.474700820,,7,0.12,False,False,1,1
3N3BZ,TVIQ16SD,Successful,Zest,14.71,0.85,7.2,5.0,2023-01-01 08:03:00,2023-01-01 08:11:16.113685860,,6,0.12,False,False,1,2
U9Q44,HLXJNTRS,Cancelled by Merchant,Zest,9.24,0.53,6.38,5.0,2023-01-01 08:04:00,2023-01-01 08:46:25.435335996,Fulfillment Failure,5,0.12,False,False,1,1
MDKRL,3JZPAIJM,Successful,Crust,12.0,0.69,6.79,5.0,2023-01-01 08:18:00,2023-01-01 08:27:13.098435012,,8,0.2,False,False,1,1
0V5DT,73NEJV4D,Successful,Zest,14.15,0.81,7.11,5.0,2023-01-01 08:34:00,2023-01-01 08:55:07.008829410,,8,0.12,False,False,1,2
MWPQ8,LK99LHHT,Successful,Thistle & Thread,63.59,3.66,11.53,5.0,2023-01-01 08:50:00,2023-01-01 09:30:55.316577348,,5,0.2,False,True,1,6
TN60T,C026ZO3Z,Successful,Brine,16.85,0.97,4.52,5.0,2023-01-01 08:51:00,2023-01-01 09:08:20.345914980,,10,0.2,False,False,1,1
J5469,QTVLUCDU,Successful,Zest,8.53,0.49,6.27,5.0,2023-01-01 08:59:00,2023-01-01 09:08:02.859985080,,7,0.12,False,False,1,1
D3ABE,CY9Q5YHR,Successful,Vellum,30.71,1.77,6.6,5.0,2023-01-01 09:01:00,2023-01-01 09:08:00.000000000,,10,0.17,False,False,1,3
EAK8Y,4BNV3654,Successful,The Willow Snug,29.03,1.67,9.34,5.0,2023-01-01 09:07:00,2023-01-01 09:36:52.252400838,,5,0.2,False,False,1,1
887LG,K0PQS2FN,Successful,Zest,12.85,0.74,6.92,5.0,2023-01-01 09:16:00,2023-01-01 09:25:28.137748458,,10,0.12,False,False,3,1
5ELTF,HH6N9OOX,Successful,Brine,22.15,1.27,5.31,5.0,2023-01-01 09:18:00,2023-01-01 09:34:27.807713574,,8,0.17,False,True,1,1
BAF4G,GFALQKXW,Successful,Thistle & Thread,19.18,1.1,7.87,5.0,2023-01-01 09:22:00,2023-01-01 09:31:39.215410512,,9,0.12,False,False,1,1
H07JR,UU02O19X,Successful,Zest,10.76,0.62,6.6,5.0,2023-01-01 09:26:00,2023-01-01 09:38:10.422570318,,8,0.12,False,False,1,1
L3SOJ,J64K2P4C,Successful,Zest,10.38,0.6,6.55,5.0,2023-01-01 09:28:00,2023-01-01 09:40:22.216856382,,10,0.12,False,False,1,1
KCZF2,Z5KHYCJ4,Successful,Hearthstone House,57.01,3.28,10.54,5.0,2023-01-01 09:42:00,2023-01-01 09:56:25.864442088,,9,0.2,True,False,1,6
5IE3L,QYW4TGI5,Successful,Zest,8.25,0.47,6.23,5.0,2023-01-01 09:52:00,2023-01-01 10:03:21.397108104,,9,0.12,False,False,1,1
N9L3H,F9AWRZVZ,Successful,Zest,8.21,0.47,6.22,5.0,2023-01-01 09:56:00,2023-01-01 10:14:57.667370082,,9,0.12,False,False,1,1
F9TO0,WTL0OC7H,Successful,Brine,21.32,1.23,5.19,5.0,2023-01-01 10:06:00,2023-01-01 10:33:04.579053078,,8,0.2,False,False,1,3
1EGPG,QL7YELO5,Successful,Vellum,23.04,1.32,5.45,5.0,2023-01-01 10:07:00,2023-01-01 10:20:44.051981508,,9,0.17,False,False,1,1
RDSFE,IC2HCMLC,Successful,The Copper Kettle,17.5,1.01,4.61,5.0,2023-01-01 10:18:00,2023-01-01 10:36:44.138525076,,8,0.12,False,False,1,1
